2016-05-22 22:55:09	cdj	http://localhost:8888/lab/Pylon-Innovation/websites/BPN/www/	Parse Error: 	syntax error, unexpected '>' (line 1 of /Applications/MAMP/htdocs/lab/Pylon-Innovation/websites/BPN/www/site/templates/home.php)
2016-05-22 22:56:31	cdj	http://localhost:8888/lab/Pylon-Innovation/websites/BPN/www/	Parse Error: 	syntax error, unexpected end of file (line 5 of /Applications/MAMP/htdocs/lab/Pylon-Innovation/websites/BPN/www/site/templates/home.php)
2016-05-24 18:33:23	guest	http://localhost:8888/lab/Pylon-Innovation/websites/BPN/www/	Parse Error: 	syntax error, unexpected '?>', expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' (line 13 of /Applications/MAMP/htdocs/lab/Pylon-Innovation/websites/BPN/www/site/templates/home.php)
2016-05-24 18:33:26	guest	http://localhost:8888/lab/Pylon-Innovation/websites/BPN/www/	Parse Error: 	syntax error, unexpected '?>', expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' (line 13 of /Applications/MAMP/htdocs/lab/Pylon-Innovation/websites/BPN/www/site/templates/home.php)
2016-06-01 22:58:16	cdj	http://localhost:8888/lab/Pylon-Innovation/websites/BPN/www/events/	Parse Error: 	syntax error, unexpected '<', expecting end of file (line 92 of /Applications/MAMP/htdocs/lab/Pylon-Innovation/websites/BPN/www/site/templates/events.php)
2016-06-01 22:58:18	cdj	http://localhost:8888/lab/Pylon-Innovation/websites/BPN/www/events/	Parse Error: 	syntax error, unexpected '<', expecting end of file (line 92 of /Applications/MAMP/htdocs/lab/Pylon-Innovation/websites/BPN/www/site/templates/events.php)
2016-06-01 22:58:47	cdj	http://localhost:8888/lab/Pylon-Innovation/websites/BPN/www/events/	Parse Error: 	syntax error, unexpected '<', expecting end of file (line 92 of /Applications/MAMP/htdocs/lab/Pylon-Innovation/websites/BPN/www/site/templates/events.php)
2016-06-01 22:58:48	cdj	http://localhost:8888/lab/Pylon-Innovation/websites/BPN/www/events/	Parse Error: 	syntax error, unexpected '<', expecting end of file (line 92 of /Applications/MAMP/htdocs/lab/Pylon-Innovation/websites/BPN/www/site/templates/events.php)
2016-06-01 22:59:09	cdj	http://localhost:8888/lab/Pylon-Innovation/websites/BPN/www/events/	Parse Error: 	syntax error, unexpected '<', expecting end of file (line 92 of /Applications/MAMP/htdocs/lab/Pylon-Innovation/websites/BPN/www/site/templates/events.php)
2016-06-01 22:59:10	cdj	http://localhost:8888/lab/Pylon-Innovation/websites/BPN/www/events/	Parse Error: 	syntax error, unexpected '<', expecting end of file (line 92 of /Applications/MAMP/htdocs/lab/Pylon-Innovation/websites/BPN/www/site/templates/events.php)
2016-06-02 09:16:11	?	http://localhost:8888/?/	Error: 	Exception: SQLSTATE[HY000] [2002] No such file or directory (in /Applications/MAMP/htdocs/lab/Pylon-Innovation/websites/BPN/www/wire/core/ProcessWire.php line 216)
